county_name,Year,Series,Permits
Douglas,2000,Multi-family,11.0
Douglas,2000,Single-family,890.0
Douglas,2001,All,1342.0
Douglas,2001,Multi-family,240.0
Douglas,2001,Single-family,1102.0
Douglas,2002,All,3059.0
Douglas,2002,Multi-family,1400.0
Douglas,2002,Single-family,1659.0
Douglas,2003,All,2145.0
Douglas,2003,Multi-family,14.0
Douglas,2003,Single-family,2131.0
Douglas,2004,All,1874.0
Douglas,2004,Multi-family,60.0
Douglas,2004,Single-family,1814.0
Douglas,2005,All,1915.0
Douglas,2005,Multi-family,0.0
Douglas,2005,Single-family,1915.0
Douglas,2006,All,1863.0
Douglas,2006,Multi-family,0.0
Douglas,2006,Single-family,1863.0
Douglas,2007,All,916.0
Douglas,2007,Multi-family,4.0
Douglas,2007,Single-family,912.0
Douglas,2008,All,584.0
Douglas,2008,Multi-family,306.0
Douglas,2008,Single-family,278.0
Douglas,2009,All,141.0
Douglas,2009,Multi-family,0.0
Douglas,2009,Single-family,141.0
Douglas,2010,All,72.0
Douglas,2010,Multi-family,0.0
Douglas,2010,Single-family,72.0
Douglas,2011,All,54.0
Douglas,2011,Multi-family,0.0
Douglas,2011,Single-family,54.0
Douglas,2012,All,139.0
Douglas,2012,Multi-family,0.0
Douglas,2012,Single-family,139.0
Douglas,2013,All,207.0
Douglas,2013,Multi-family,0.0
Douglas,2013,Single-family,207.0
Douglas,2014,All,224.0
Douglas,2014,Multi-family,0.0
Douglas,2014,Single-family,224.0
Douglas,2015,All,249.0
Douglas,2015,Multi-family,0.0
Douglas,2015,Single-family,249.0
Douglas,2016,All,382.0
Douglas,2016,Multi-family,0.0
Douglas,2016,Single-family,382.0
